Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.09452"
"0.02000","0.00007","0.09558"
"0.02700","0.00022","0.09663"
"0.03100","0.00034","0.09764"
"0.03400","0.00046","0.09874"
"0.03600","0.00055","0.09977"
"0.03800","0.00065","0.10115"
"0.04000","0.00077","0.10283"
"0.04200","0.00091","0.10474"
"0.04300","0.00099","0.10576"
"0.04400","0.00108","0.10681"
"0.04500","0.00117","0.10787"
"0.04600","0.00127","0.10893"
"0.04700","0.00138","0.10999"
"0.04800","0.00149","0.11106"
"0.04900","0.00162","0.11213"
"0.05000","0.00176","0.11322"
"0.05100","0.00190","0.11431"
"0.05200","0.00206","0.11541"
"0.05300","0.00223","0.11648"
"0.05500","0.00261","0.11810"
"0.06100","0.00399","0.11680"
"0.06300","0.00452","0.11514"
"0.06500","0.00506","0.11337"
"0.06700","0.00561","0.11175"
"0.06900","0.00616","0.11043"
"0.07200","0.00697","0.10912"
"0.09000","0.01129","0.11051"
"0.09300","0.01199","0.11197"
"0.09500","0.01246","0.11309"
"0.09700","0.01295","0.11431"
"0.09900","0.01346","0.11559"
"0.10100","0.01399","0.11688"
"0.10300","0.01455","0.11827"
"0.10500","0.01513","0.11975"
"0.10700","0.01575","0.12132"
"0.10900","0.01639","0.12289"
"0.11100","0.01708","0.12441"
"0.11300","0.01780","0.12587"
"0.11500","0.01856","0.12726"
"0.11700","0.01936","0.12857"
"0.11900","0.02020","0.12971"
"0.12200","0.02154","0.13100"
"0.12500","0.02298","0.13215"
"0.12800","0.02451","0.13339"
"0.13100","0.02614","0.13457"
"0.13400","0.02785","0.13581"
"0.13700","0.02963","0.13711"
"0.14000","0.03149","0.13844"
"0.14300","0.03341","0.13992"
"0.14500","0.03472","0.14097"
"0.14700","0.03604","0.14202"
"0.14900","0.03737","0.14306"
"0.15100","0.03871","0.14409"
"0.15300","0.04006","0.14514"
"0.15500","0.04141","0.14617"
"0.15700","0.04275","0.14720"
"0.15900","0.04408","0.14832"
"0.16100","0.04541","0.14947"
"0.16300","0.04673","0.15058"
"0.16500","0.04804","0.15167"
"0.16700","0.04933","0.15273"
"0.16900","0.05061","0.15376"
"0.17200","0.05251","0.15524"
