Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.02170"
"0.02000","0.00008","0.02277"
"0.02300","0.00013","0.02405"
"0.02500","0.00018","0.02519"
"0.02700","0.00024","0.02658"
"0.02900","0.00032","0.02814"
"0.03100","0.00040","0.02975"
"0.03300","0.00051","0.03126"
"0.03500","0.00063","0.03269"
"0.03700","0.00079","0.03408"
"0.03900","0.00096","0.03534"
"0.04100","0.00118","0.03652"
"0.04300","0.00143","0.03767"
"0.04500","0.00171","0.03887"
"0.04700","0.00205","0.04012"
"0.04900","0.00242","0.04129"
"0.05400","0.00358","0.04000"
"0.05500","0.00384","0.03890"
"0.05600","0.00411","0.03766"
"0.05700","0.00438","0.03634"
"0.05800","0.00466","0.03498"
"0.05900","0.00494","0.03361"
"0.06000","0.00523","0.03227"
"0.06100","0.00552","0.03099"
"0.06200","0.00581","0.02977"
"0.06300","0.00609","0.02864"
"0.06400","0.00638","0.02759"
"0.06600","0.00694","0.02577"
"0.06800","0.00749","0.02430"
"0.07000","0.00801","0.02314"
"0.07300","0.00877","0.02198"
"0.08600","0.01171","0.02345"
"0.08800","0.01216","0.02478"
"0.09000","0.01262","0.02623"
"0.09200","0.01310","0.02784"
"0.09400","0.01360","0.02952"
"0.09600","0.01413","0.03124"
"0.09800","0.01469","0.03309"
"0.10000","0.01528","0.03498"
"0.10200","0.01591","0.03677"
"0.10400","0.01658","0.03854"
"0.10600","0.01729","0.04035"
"0.10800","0.01805","0.04208"
"0.11000","0.01885","0.04357"
"0.11200","0.01970","0.04472"
"0.11500","0.02105","0.04572"
"0.12400","0.02565","0.04469"
"0.12700","0.02733","0.04335"
"0.13000","0.02906","0.04196"
"0.13300","0.03084","0.04062"
"0.13600","0.03264","0.03946"
"0.14000","0.03507","0.03816"
"0.14600","0.03879","0.03716"
"0.15500","0.04446","0.03826"
"0.16000","0.04766","0.03931"
"0.16600","0.05154","0.04035"
"0.18200","0.06174","0.04010"
"0.18800","0.06539","0.04133"
"0.19200","0.06776","0.04269"
"0.19500","0.06951","0.04397"
"0.19800","0.07123","0.04546"
"0.20000","0.07237","0.04658"
"0.20200","0.07350","0.04776"
"0.20400","0.07462","0.04889"
"0.20700","0.07630","0.05033"
"0.21000","0.07797","0.05145"
"0.21400","0.08019","0.05250"
"0.22700","0.08737","0.05136"
"0.23000","0.08900","0.05035"
"0.23300","0.09062","0.04920"
"0.23700","0.09274","0.04806"
"0.24800","0.09831","0.04935"
"0.25100","0.09977","0.05072"
"0.25300","0.10073","0.05179"
"0.25500","0.10169","0.05305"
"0.25700","0.10264","0.05453"
"0.25900","0.10358","0.05616"
"0.26100","0.10453","0.05788"
"0.26300","0.10547","0.05957"
"0.26500","0.10642","0.06108"
"0.26700","0.10736","0.06234"
"0.26900","0.10831","0.06340"
"0.27200","0.10975","0.06467"
"0.27600","0.11168","0.06573"
"0.29000","0.11869","0.06465"
"0.29500","0.12125","0.06349"
"0.30700","0.12736","0.06473"
"0.31000","0.12888","0.06606"
"0.31300","0.13039","0.06745"
"0.31600","0.13191","0.06895"
