Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00722"
"0.02300","0.00015","0.00854"
"0.02600","0.00024","0.00992"
"0.02800","0.00031","0.01115"
"0.03000","0.00040","0.01269"
"0.03200","0.00051","0.01440"
"0.03400","0.00064","0.01615"
"0.03600","0.00080","0.01788"
"0.03800","0.00099","0.01961"
"0.04000","0.00121","0.02133"
"0.04200","0.00148","0.02300"
"0.04400","0.00179","0.02466"
"0.04600","0.00215","0.02617"
"0.05200","0.00353","0.02457"
"0.05400","0.00406","0.02264"
"0.05500","0.00434","0.02162"
"0.05600","0.00461","0.02062"
"0.05800","0.00518","0.01876"
"0.06000","0.00574","0.01717"
"0.06200","0.00631","0.01597"
"0.06600","0.00740","0.01485"
"0.07500","0.00964","0.01590"
"0.07800","0.01034","0.01719"
"0.08000","0.01081","0.01836"
"0.08200","0.01128","0.01982"
"0.08400","0.01175","0.02149"
"0.08600","0.01224","0.02329"
"0.08800","0.01274","0.02532"
"0.08900","0.01300","0.02644"
"0.09000","0.01327","0.02760"
"0.09100","0.01354","0.02878"
"0.09200","0.01382","0.02994"
"0.09300","0.01411","0.03108"
"0.09400","0.01440","0.03219"
"0.09500","0.01471","0.03329"
"0.09600","0.01502","0.03436"
"0.09700","0.01534","0.03541"
"0.09800","0.01567","0.03641"
"0.10000","0.01635","0.03827"
"0.10200","0.01707","0.03998"
"0.10400","0.01783","0.04155"
"0.10600","0.01863","0.04304"
"0.10800","0.01946","0.04439"
"0.11000","0.02033","0.04549"
"0.11300","0.02169","0.04666"
"0.11700","0.02360","0.04786"
"0.12100","0.02561","0.04915"
"0.12400","0.02717","0.05049"
"0.12600","0.02824","0.05154"
"0.12800","0.02933","0.05265"
"0.13000","0.03044","0.05376"
"0.13200","0.03157","0.05491"
"0.13400","0.03271","0.05616"
"0.13600","0.03387","0.05754"
"0.13800","0.03505","0.05897"
"0.14000","0.03625","0.06047"
"0.14200","0.03746","0.06204"
"0.14400","0.03869","0.06369"
"0.14600","0.03993","0.06540"
"0.14800","0.04119","0.06710"
"0.15000","0.04247","0.06869"
"0.15200","0.04376","0.07016"
"0.15400","0.04506","0.07153"
"0.15600","0.04636","0.07280"
"0.15800","0.04768","0.07403"
"0.16000","0.04899","0.07524"
"0.16200","0.05031","0.07649"
"0.16400","0.05162","0.07780"
"0.16600","0.05294","0.07910"
"0.16800","0.05424","0.08035"
"0.17000","0.05554","0.08155"
