Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.01866"
"0.02200","0.00009","0.01968"
"0.04200","0.00082","0.02095"
"0.04500","0.00102","0.02237"
"0.04700","0.00117","0.02361"
"0.04900","0.00135","0.02497"
"0.05100","0.00154","0.02652"
"0.05300","0.00177","0.02829"
"0.05500","0.00203","0.03021"
"0.05600","0.00217","0.03122"
"0.05700","0.00232","0.03225"
"0.05800","0.00248","0.03331"
"0.05900","0.00265","0.03438"
"0.06000","0.00283","0.03547"
"0.06100","0.00303","0.03654"
"0.06300","0.00345","0.03820"
"0.06800","0.00470","0.03715"
"0.07000","0.00525","0.03541"
"0.07200","0.00583","0.03345"
"0.07400","0.00641","0.03149"
"0.07600","0.00700","0.02965"
"0.07800","0.00757","0.02794"
"0.08000","0.00813","0.02641"
"0.08200","0.00868","0.02507"
"0.08400","0.00921","0.02390"
"0.08700","0.00997","0.02259"
"0.09000","0.01069","0.02149"
"0.09400","0.01161","0.02037"
"0.10600","0.01439","0.02186"
"0.10800","0.01490","0.02305"
"0.11000","0.01543","0.02444"
"0.11200","0.01599","0.02600"
"0.11400","0.01657","0.02767"
"0.11600","0.01719","0.02942"
"0.11800","0.01784","0.03127"
"0.12000","0.01852","0.03316"
"0.12200","0.01924","0.03499"
"0.12400","0.01999","0.03668"
"0.12600","0.02079","0.03813"
"0.12800","0.02162","0.03931"
"0.13100","0.02295","0.04056"
"0.13500","0.02486","0.04175"
"0.14100","0.02802","0.04275"
"0.15300","0.03523","0.04174"
"0.15700","0.03782","0.04053"
"0.16000","0.03980","0.03935"
"0.16300","0.04178","0.03818"
"0.16600","0.04377","0.03701"
"0.16900","0.04575","0.03594"
"0.17300","0.04836","0.03478"
"0.17700","0.05093","0.03369"
"0.18200","0.05407","0.03259"
"0.19800","0.06377","0.03387"
"0.20100","0.06555","0.03528"
"0.20300","0.06674","0.03642"
"0.20500","0.06793","0.03765"
"0.20700","0.06911","0.03897"
"0.20900","0.07029","0.04033"
"0.21100","0.07147","0.04165"
"0.21300","0.07264","0.04297"
"0.21500","0.07381","0.04429"
"0.21700","0.07497","0.04561"
"0.21900","0.07612","0.04682"
"0.22200","0.07783","0.04825"
"0.22500","0.07952","0.04945"
"0.22800","0.08119","0.05047"
"0.23200","0.08339","0.05151"
"0.23800","0.08665","0.05261"
"0.24700","0.09148","0.05366"
"0.26600","0.10169","0.05365"
"0.28600","0.11203","0.05399"
"0.29000","0.11397","0.05529"
"0.29300","0.11540","0.05642"
"0.29600","0.11682","0.05771"
"0.29900","0.11823","0.05918"
"0.30100","0.11916","0.06026"
"0.30300","0.12010","0.06137"
"0.30500","0.12104","0.06249"
"0.30700","0.12198","0.06366"
"0.30900","0.12293","0.06483"
"0.31100","0.12388","0.06601"
"0.31300","0.12484","0.06725"
"0.31500","0.12581","0.06850"
"0.31700","0.12679","0.06966"
"0.31900","0.12777","0.07067"
"0.32200","0.12927","0.07183"
"0.32700","0.13182","0.07290"
"0.34000","0.13861","0.07178"
"0.35500","0.14635","0.07074"
"0.37500","0.15650","0.07154"
"0.38100","0.15957","0.07269"
"0.38500","0.16162","0.07377"
"0.39000","0.16418","0.07498"
"0.39400","0.16620","0.07614"
"0.39800","0.16820","0.07735"
"0.40100","0.16967","0.07837"
"0.40400","0.17111","0.07960"
"0.40700","0.17253","0.08090"
"0.41000","0.17393","0.08214"
"0.41300","0.17530","0.08325"
"0.41600","0.17665","0.08437"
"0.42000","0.17844","0.08563"
