Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.18858"
"0.01800","0.00005","0.18972"
"0.02200","0.00011","0.19104"
"0.02500","0.00019","0.19234"
"0.02700","0.00025","0.19339"
"0.02900","0.00033","0.19455"
"0.03100","0.00043","0.19578"
"0.03300","0.00055","0.19708"
"0.03500","0.00069","0.19844"
"0.03700","0.00086","0.19984"
"0.03900","0.00106","0.20121"
"0.04100","0.00129","0.20256"
"0.04300","0.00156","0.20382"
"0.04500","0.00186","0.20495"
"0.04700","0.00222","0.20602"
"0.04900","0.00261","0.20708"
"0.05600","0.00436","0.20542"
"0.05700","0.00465","0.20428"
"0.05800","0.00494","0.20305"
"0.05900","0.00524","0.20177"
"0.06000","0.00555","0.20048"
"0.06100","0.00585","0.19922"
"0.06200","0.00616","0.19803"
"0.06300","0.00646","0.19691"
"0.06400","0.00677","0.19589"
"0.06600","0.00737","0.19418"
"0.06800","0.00795","0.19300"
"0.07900","0.01081","0.19403"
"0.08200","0.01150","0.19562"
"0.08400","0.01195","0.19701"
"0.08600","0.01240","0.19869"
"0.08800","0.01285","0.20068"
"0.08900","0.01308","0.20177"
"0.09000","0.01331","0.20290"
"0.09100","0.01355","0.20407"
"0.09200","0.01379","0.20528"
"0.09300","0.01403","0.20651"
"0.09400","0.01428","0.20774"
"0.09500","0.01453","0.20894"
"0.09600","0.01480","0.21012"
"0.09700","0.01506","0.21127"
"0.09800","0.01534","0.21241"
"0.09900","0.01562","0.21355"
"0.10000","0.01591","0.21468"
"0.10100","0.01621","0.21579"
"0.10200","0.01652","0.21687"
"0.10300","0.01684","0.21791"
"0.10400","0.01717","0.21891"
"0.10600","0.01786","0.22086"
"0.10800","0.01860","0.22270"
"0.11000","0.01937","0.22437"
"0.11200","0.02020","0.22572"
"0.11500","0.02151","0.22707"
"0.13400","0.03172","0.22809"
"0.14000","0.03540","0.22925"
"0.14400","0.03792","0.23047"
"0.14700","0.03985","0.23172"
"0.15000","0.04179","0.23315"
"0.15200","0.04309","0.23416"
"0.15500","0.04506","0.23564"
"0.15800","0.04703","0.23705"
"0.16100","0.04900","0.23828"
"0.16400","0.05097","0.23948"
"0.16700","0.05292","0.24077"
"0.17000","0.05486","0.24198"
"0.17300","0.05677","0.24305"
"0.17600","0.05864","0.24411"
"0.17900","0.06047","0.24523"
"0.18200","0.06227","0.24667"
"0.18400","0.06344","0.24794"
"0.18600","0.06460","0.24935"
"0.18800","0.06574","0.25084"
"0.19000","0.06686","0.25245"
"0.19200","0.06797","0.25421"
"0.19400","0.06907","0.25608"
"0.19600","0.07016","0.25803"
"0.19700","0.07070","0.25905"
"0.19800","0.07124","0.26009"
"0.19900","0.07177","0.26116"
"0.20000","0.07231","0.26223"
"0.20100","0.07284","0.26328"
"0.20200","0.07338","0.26432"
"0.20300","0.07391","0.26533"
"0.20500","0.07497","0.26729"
"0.20700","0.07603","0.26916"
"0.20900","0.07709","0.27092"
"0.21100","0.07816","0.27255"
"0.21300","0.07922","0.27400"
"0.21500","0.08029","0.27525"
"0.21700","0.08137","0.27628"
"0.22000","0.08298","0.27749"
"0.22500","0.08569","0.27850"
"0.23400","0.09055","0.27967"
"0.23800","0.09269","0.28079"
"0.24100","0.09428","0.28211"
"0.24300","0.09534","0.28321"
"0.24500","0.09640","0.28443"
"0.24700","0.09745","0.28575"
"0.24900","0.09850","0.28722"
"0.25100","0.09954","0.28881"
"0.25300","0.10059","0.29046"
"0.25500","0.10163","0.29213"
"0.25700","0.10268","0.29380"
"0.25900","0.10372","0.29549"
"0.26100","0.10477","0.29718"
"0.26300","0.10581","0.29883"
"0.26500","0.10686","0.30043"
"0.26700","0.10791","0.30195"
"0.26900","0.10896","0.30331"
"0.27100","0.11001","0.30444"
"0.27400","0.11158","0.30571"
"0.27800","0.11368","0.30678"
"0.29300","0.12138","0.30782"
"0.29700","0.12335","0.30889"
"0.30000","0.12479","0.31012"
"0.30200","0.12574","0.31121"
"0.30400","0.12668","0.31244"
"0.30600","0.12761","0.31381"
"0.30800","0.12854","0.31534"
"0.31000","0.12946","0.31699"
"0.31200","0.13037","0.31872"
"0.31400","0.13129","0.32050"
"0.31600","0.13221","0.32229"
"0.31800","0.13313","0.32400"
"0.32000","0.13405","0.32564"
"0.32200","0.13498","0.32723"
"0.32400","0.13592","0.32876"
"0.32600","0.13686","0.33021"
"0.32800","0.13782","0.33161"
"0.33000","0.13878","0.33295"
"0.33200","0.13975","0.33424"
"0.33400","0.14074","0.33545"
"0.33600","0.14173","0.33648"
"0.33900","0.14324","0.33771"
"0.34300","0.14529","0.33902"
"0.34700","0.14736","0.34015"
"0.35100","0.14945","0.34125"
"0.35600","0.15205","0.34250"
"0.36000","0.15412","0.34372"
"0.36300","0.15566","0.34482"
"0.36600","0.15719","0.34607"
"0.36900","0.15871","0.34749"
"0.37200","0.16023","0.34895"
"0.37500","0.16174","0.35035"
"0.37800","0.16325","0.35172"
"0.38100","0.16477","0.35306"
"0.38400","0.16628","0.35451"
"0.38600","0.16730","0.35557"
"0.38800","0.16831","0.35674"
"0.39000","0.16933","0.35808"
"0.39200","0.17035","0.35952"
"0.39400","0.17138","0.36095"
"0.39600","0.17241","0.36234"
"0.39800","0.17345","0.36364"
"0.40000","0.17448","0.36480"
"0.40300","0.17604","0.36617"
"0.40600","0.17760","0.36727"
"0.40900","0.17915","0.36835"
"0.41300","0.18119","0.36965"
"0.41700","0.18320","0.37083"
"0.42000","0.18468","0.37187"
"0.42300","0.18613","0.37316"
"0.42600","0.18756","0.37459"
"0.42900","0.18896","0.37611"
"0.43100","0.18989","0.37718"
"0.43300","0.19081","0.37826"
"0.43500","0.19173","0.37933"
"0.43700","0.19265","0.38036"
"0.44000","0.19403","0.38183"
"0.44200","0.19495","0.38290"
"0.44400","0.19588","0.38405"
"0.44600","0.19682","0.38524"
"0.44800","0.19776","0.38643"
"0.45000","0.19871","0.38751"
"0.45300","0.20015","0.38894"
"0.45600","0.20162","0.39013"
"0.45900","0.20312","0.39126"
"0.46200","0.20464","0.39234"
"0.46600","0.20672","0.39358"
"0.47100","0.20936","0.39477"
"0.47500","0.21150","0.39580"
"0.47800","0.21312","0.39695"
"0.48100","0.21473","0.39839"
"0.48300","0.21580","0.39950"
"0.48500","0.21687","0.40078"
"0.48700","0.21794","0.40219"
"0.48900","0.21900","0.40365"
"0.49100","0.22006","0.40511"
"0.49300","0.22111","0.40656"
"0.49500","0.22216","0.40796"
"0.49700","0.22321","0.40932"
"0.49900","0.22425","0.41068"
"0.50100","0.22529","0.41212"
"0.50300","0.22633","0.41361"
"0.50500","0.22736","0.41507"
"0.50700","0.22839","0.41642"
"0.50900","0.22942","0.41769"
"0.51100","0.23044","0.41885"
"0.51300","0.23147","0.41989"
"0.51600","0.23301","0.42131"
"0.51900","0.23455","0.42244"
"0.52400","0.23712","0.42350"
"0.54200","0.24619","0.42466"
"0.54600","0.24813","0.42599"
"0.54900","0.24955","0.42740"
"0.55100","0.25050","0.42855"
"0.55300","0.25143","0.42991"
"0.55500","0.25236","0.43143"
"0.55700","0.25329","0.43306"
"0.55900","0.25422","0.43482"
"0.56100","0.25515","0.43668"
"0.56300","0.25608","0.43857"
"0.56500","0.25701","0.44045"
"0.56700","0.25795","0.44233"
"0.56900","0.25889","0.44414"
"0.57100","0.25984","0.44582"
"0.57300","0.26080","0.44741"
"0.57500","0.26177","0.44897"
"0.57700","0.26274","0.45049"
"0.57900","0.26372","0.45188"
"0.58100","0.26472","0.45309"
"0.58300","0.26571","0.45410"
"0.58600","0.26723","0.45525"
"0.59200","0.27029","0.45628"
"0.60600","0.27747","0.45737"
"0.61000","0.27949","0.45843"
"0.61300","0.28100","0.45957"
"0.61600","0.28250","0.46088"
"0.61900","0.28399","0.46236"
"0.62100","0.28499","0.46351"
"0.62300","0.28599","0.46480"
"0.62500","0.28699","0.46617"
"0.62700","0.28798","0.46764"
"0.62900","0.28899","0.46917"
"0.63100","0.28999","0.47073"
"0.63300","0.29100","0.47232"
"0.63500","0.29201","0.47387"
"0.63700","0.29303","0.47536"
"0.63900","0.29405","0.47684"
"0.64100","0.29508","0.47827"
"0.64300","0.29611","0.47959"
"0.64500","0.29715","0.48074"
"0.64700","0.29819","0.48177"
"0.65000","0.29975","0.48317"
"0.65300","0.30130","0.48439"
"0.65600","0.30285","0.48541"
"0.66000","0.30490","0.48664"
"0.66400","0.30690","0.48772"
"0.66800","0.30885","0.48892"
"0.67200","0.31076","0.49011"
"0.67600","0.31263","0.49126"
"0.67900","0.31401","0.49243"
"0.68200","0.31537","0.49366"
"0.68500","0.31673","0.49503"
"0.68700","0.31763","0.49607"
"0.68900","0.31854","0.49724"
"0.69100","0.31945","0.49847"
"0.69300","0.32037","0.49970"
"0.69500","0.32129","0.50092"
"0.69700","0.32222","0.50213"
"0.69900","0.32317","0.50327"
"0.70100","0.32412","0.50439"
"0.70300","0.32509","0.50563"
"0.70500","0.32607","0.50694"
"0.70700","0.32707","0.50825"
"0.70900","0.32808","0.50955"
"0.71100","0.32910","0.51080"
"0.71300","0.33014","0.51197"
"0.71500","0.33118","0.51302"
"0.71700","0.33224","0.51408"
"0.71900","0.33330","0.51513"
"0.72100","0.33436","0.51614"
"0.72300","0.33543","0.51718"
"0.72500","0.33650","0.51822"
"0.72700","0.33758","0.51922"
"0.73000","0.33918","0.52066"
"0.73300","0.34077","0.52198"
"0.73600","0.34236","0.52311"
"0.73900","0.34394","0.52417"
"0.74200","0.34550","0.52521"
"0.74500","0.34706","0.52629"
"0.74800","0.34861","0.52735"
"0.75100","0.35015","0.52844"
"0.75400","0.35169","0.52954"
"0.75700","0.35322","0.53070"
"0.76000","0.35474","0.53192"
"0.76300","0.35627","0.53336"
"0.76500","0.35729","0.53445"
"0.76700","0.35831","0.53553"
"0.76900","0.35933","0.53657"
"0.77200","0.36086","0.53799"
"0.77500","0.36239","0.53937"
"0.77800","0.36391","0.54079"
"0.78100","0.36543","0.54226"
"0.78300","0.36643","0.54330"
"0.78500","0.36743","0.54434"
"0.78700","0.36842","0.54536"
"0.78900","0.36940","0.54637"
"0.79100","0.37037","0.54740"
"0.79300","0.37134","0.54841"
"0.79500","0.37229","0.54941"
"0.79700","0.37324","0.55044"
"0.79900","0.37417","0.55149"
"0.80100","0.37511","0.55251"
"0.80400","0.37650","0.55396"
"0.80700","0.37788","0.55518"
"0.81000","0.37927","0.55625"
"0.81300","0.38067","0.55733"
"0.81600","0.38207","0.55853"
"0.81900","0.38349","0.55992"
"0.82200","0.38492","0.56137"
"0.82500","0.38637","0.56279"
"0.82800","0.38785","0.56414"
"0.83100","0.38934","0.56548"
"0.83400","0.39086","0.56670"
"0.83700","0.39239","0.56775"
"0.84100","0.39446","0.56886"
"0.84500","0.39655","0.56995"
"0.84800","0.39811","0.57116"
"0.85100","0.39967","0.57264"
"0.85300","0.40071","0.57379"
"0.85500","0.40174","0.57508"
"0.85700","0.40278","0.57651"
"0.85900","0.40380","0.57801"
"0.86100","0.40483","0.57958"
"0.86300","0.40585","0.58120"
"0.86500","0.40688","0.58281"
"0.86700","0.40790","0.58439"
"0.86900","0.40892","0.58590"
"0.87100","0.40994","0.58735"
"0.87300","0.41096","0.58874"
"0.87500","0.41199","0.59005"
"0.87700","0.41301","0.59121"
"0.87900","0.41404","0.59226"
"0.88200","0.41559","0.59368"
"0.88500","0.41715","0.59502"
"0.88800","0.41871","0.59631"
"0.89100","0.42028","0.59742"
"0.89500","0.42238","0.59845"
"0.90400","0.42709","0.59953"
"0.91100","0.43066","0.60065"
"0.91600","0.43314","0.60182"
"0.91900","0.43459","0.60309"
"0.92100","0.43554","0.60413"
"0.92300","0.43648","0.60537"
"0.92500","0.43742","0.60672"
"0.92700","0.43834","0.60812"
"0.92900","0.43927","0.60949"
"0.93100","0.44018","0.61088"
"0.93300","0.44110","0.61235"
"0.93500","0.44201","0.61388"
"0.93700","0.44292","0.61533"
"0.93900","0.44384","0.61672"
"0.94100","0.44476","0.61815"
"0.94300","0.44569","0.61959"
"0.94500","0.44662","0.62097"
"0.94700","0.44756","0.62231"
"0.94900","0.44851","0.62363"
"0.95100","0.44947","0.62489"
"0.95300","0.45044","0.62602"
"0.95500","0.45142","0.62704"
"0.95800","0.45291","0.62839"
"0.96100","0.45442","0.62958"
"0.96500","0.45647","0.63063"
"0.97100","0.45957","0.63165"
"0.97700","0.46268","0.63278"
"0.98100","0.46475","0.63396"
"0.98400","0.46630","0.63503"
"0.98800","0.46835","0.63632"
"0.99200","0.47039","0.63752"
"0.99500","0.47192","0.63854"
"0.99800","0.47345","0.63977"
"1.00100","0.47499","0.64130"
"1.00300","0.47601","0.64251"
"1.00500","0.47703","0.64381"
"1.00700","0.47806","0.64514"
"1.00900","0.47909","0.64641"
"1.01100","0.48012","0.64766"
"1.01300","0.48115","0.64886"
"1.01500","0.48218","0.64997"
"1.01700","0.48322","0.65102"
"1.01900","0.48426","0.65203"
"1.02200","0.48581","0.65332"
"1.02500","0.48736","0.65444"
"1.02900","0.48941","0.65573"
"1.03300","0.49143","0.65706"
"1.03700","0.49341","0.65827"
